iter	Passed	Remaining
0	52	26034
1	52	13101
2	53	8801
3	53	6641
4	54	5346
5	54	4476
6	55	3911
7	55	3438
8	56	3071
9	56	2781
10	57	2537
11	57	2337
12	57	2166
13	58	2020
14	58	1892
15	58	1781
16	59	1683
17	59	1596
18	60	1518
19	60	1448
20	60	1384
21	61	1326
22	61	1272
23	61	1226
24	62	1184
25	62	1144
26	63	1106
27	63	1069
28	63	1037
29	64	1005
30	64	977
31	64	950
32	65	924
33	65	900
34	66	877
35	66	856
36	66	835
37	67	817
38	67	798
39	67	780
40	68	764
41	68	748
42	69	733
43	69	719
44	69	704
45	70	691
46	70	679
47	70	667
48	71	655
49	71	644
50	71	633
51	72	622
52	72	612
53	73	603
54	73	593
55	73	585
56	74	577
57	74	568
58	75	561
59	75	554
60	76	547
61	76	540
62	76	533
63	77	528
64	78	523
65	78	518
66	79	511
67	79	505
68	80	499
69	80	493
70	80	489
71	81	483
72	81	478
73	82	472
74	82	467
75	82	462
76	83	457
77	83	452
78	83	447
79	84	442
80	84	437
81	84	433
82	85	428
83	85	423
84	85	419
85	86	415
86	86	411
87	86	407
88	87	403
89	87	399
90	87	395
91	88	391
92	88	387
93	88	384
94	89	380
95	89	377
96	89	373
97	90	370
98	90	367
99	90	363
100	91	360
101	91	357
102	91	354
103	92	351
104	92	348
105	92	345
106	93	342
107	93	341
108	94	339
109	95	338
110	96	336
111	96	335
112	97	332
113	97	330
114	97	327
115	98	325
116	98	323
117	99	321
118	99	319
119	100	316
120	100	314
121	101	313
122	101	311
123	101	309
124	102	306
125	102	304
126	103	303
127	103	301
128	104	301
129	105	299
130	105	297
131	105	295
132	106	293
133	106	291
134	107	290
135	107	288
136	108	286
137	108	284
138	109	283
139	109	281
140	109	279
141	110	277
142	110	276
143	111	274
144	111	273
145	111	271
146	112	270
147	112	268
148	113	266
149	113	265
150	114	263
151	114	262
152	115	260
153	115	259
154	115	257
155	116	256
156	116	254
157	117	253
158	117	251
159	117	250
160	118	248
161	118	247
162	118	245
163	119	244
164	119	242
165	120	241
166	120	240
167	120	238
168	121	237
169	121	236
170	122	234
171	122	233
172	122	232
173	123	230
174	123	229
175	124	228
176	124	227
177	125	227
178	126	226
179	126	224
180	126	223
181	127	222
182	127	221
183	128	220
184	128	218
185	128	217
186	129	216
187	129	215
188	130	214
189	130	212
190	130	211
191	131	210
192	131	209
193	131	208
194	132	207
195	132	205
196	133	204
197	133	203
198	133	202
199	134	201
200	134	200
201	134	199
202	135	197
203	135	196
204	136	195
205	136	194
206	136	193
207	137	192
208	137	191
209	137	190
210	138	189
211	138	188
212	138	187
213	139	186
214	139	185
215	139	183
216	140	182
217	140	181
218	140	180
219	141	179
220	141	178
221	141	177
222	142	176
223	142	175
224	143	174
225	143	173
226	143	172
227	144	172
228	144	171
229	144	170
230	145	169
231	145	168
232	146	167
233	146	166
234	147	165
235	147	164
236	147	163
237	148	162
238	148	162
239	148	161
240	149	160
241	149	159
242	149	158
243	150	157
244	150	156
245	151	155
246	151	155
247	151	154
248	152	153
249	152	152
250	152	151
251	153	150
252	153	150
253	154	149
254	154	148
255	154	147
256	155	146
257	155	146
258	156	145
259	156	144
260	157	143
261	157	143
262	157	142
263	158	141
264	158	140
265	159	140
266	160	139
267	160	139
268	161	138
269	161	137
270	161	136
271	162	136
272	162	135
273	162	134
274	163	133
275	163	132
276	164	132
277	164	131
278	164	130
279	165	129
280	165	128
281	165	128
282	166	127
283	166	126
284	166	125
285	167	125
286	167	124
287	167	123
288	168	122
289	168	122
290	168	121
291	169	120
292	169	119
293	170	119
294	170	118
295	170	117
296	171	117
297	171	116
298	172	115
299	172	115
300	173	114
301	173	113
302	173	113
303	174	112
304	174	111
305	175	110
306	175	110
307	176	109
308	176	109
309	176	108
310	177	107
311	177	107
312	178	106
313	178	105
314	179	105
315	179	104
316	179	103
317	180	103
318	180	102
319	180	101
320	181	101
321	181	100
322	182	99
323	182	99
324	182	98
325	183	97
326	183	97
327	183	96
328	184	95
329	184	95
330	184	94
331	185	93
332	185	93
333	185	92
334	186	91
335	186	91
336	186	90
337	187	89
338	187	89
339	188	88
340	188	87
341	189	87
342	189	86
343	189	86
344	190	85
345	190	84
346	190	84
347	191	83
348	191	82
349	191	82
350	192	81
351	192	80
352	192	80
353	193	79
354	193	79
355	194	78
356	194	77
357	194	77
358	195	76
359	195	76
360	195	75
361	196	74
362	196	74
363	197	73
364	197	73
365	197	72
366	198	71
367	199	71
368	199	70
369	199	70
370	200	69
371	200	69
372	201	68
373	201	67
374	201	67
